bazinga,5,FALSE
your Mother,5,TRUE
XBOX LIVE,7,TRUE
walks into a bar,5,FALSE
Fredrick Fazington,5,TRUE
is so,3,FALSE
am I right?,5,FALSE
your Father,5,TRUE
we game developers,5,TRUE
why was,3,FALSE
why is,3,FALSE
why did,3,FALSE
what do you call a,5,FALSE
what's the deal with,5,FALSE
favorite snack?,5,FALSE
that just happened,7,FALSE
didn't expect that did ya?,7,FALSE
was all over the place!,7,FALSE
that’s pretty funny!,7,FALSE
socks and sandles,5,TRUE
said that,5,FALSE
Abraham Lincoln,5,TRUE
Imposter,3,TRUE
"""The Incident""",7,TRUE
don’t talk to me about,5,FALSE
tax evasion,5,TRUE
TikTok,3,TRUE
people,5,TRUE
wasn’t me!,5,FALSE
the universe,5,TRUE
… Wait a minute,7,FALSE
environmental damage,7,TRUE
back in college,5,FALSE
now where did I leave that,7,FALSE
